tanggal,waktu,Tinggi Gelombang\m,Curah Hujan\m,Kecepatan Angin m/s
7/1/2025,8:00:00 AM,0.28554934,0,2.997906667
7/1/2025,8:00:00 AM,0.4740259,0,5.647505285
7/1/2025,8:00:00 AM,0.47512454,0,5.246280645
7/1/2025,8:00:00 AM,0.39663333,0,4.030849973
7/1/2025,8:00:00 AM,0.32510012,9.54E-07,2.763103218
7/1/2025,8:00:00 AM,0.23745364,0.002053261,2.343374309
7/1/2025,8:00:00 AM,0.462063,0,4.984063854
7/1/2025,8:00:00 AM,0.45095462,0,4.583508098
7/1/2025,8:00:00 AM,0.3761255,0,3.83484825
7/1/2025,8:00:00 AM,0.27859133,0.000135422,2.244974919
7/1/2025,8:00:00 AM,0.42214602,0,4.73677808
7/1/2025,8:00:00 AM,0.425564,0,4.613677056
7/1/2025,8:00:00 AM,0.38869876,4.77E-07,4.453549051
7/1/2025,8:00:00 AM,0.2540552,9.68E-05,3.194855636
7/1/2025,8:00:00 AM,0.3585474,0,4.811794749
7/1/2025,8:00:00 AM,0.41872805,0,4.804670146
7/1/2025,8:00:00 AM,0.39358157,0,3.862694974
7/1/2025,8:00:00 AM,0.5045435,0,5.56417138
7/1/2025,8:00:00 AM,0.5292017,0,6.140399303
7/1/2025,8:00:00 AM,0.4555933,9.54E-07,4.768787189
7/1/2025,8:00:00 AM,0.15676516,1.43E-06,0.364610117
7/1/2025,8:00:00 AM,0.5882837,0,5.242341778
7/1/2025,8:00:00 AM,0.59560794,0,5.767328747
7/1/2025,8:00:00 AM,0.5566675,0,6.025347682
7/1/2025,8:00:00 AM,0.38161868,9.30E-05,4.201127266
7/1/2025,8:00:00 AM,0.20486087,0.000119209,1.526810724
7/1/2025,8:00:00 AM,0.17885989,3.15E-05,0.622719212
7/1/2025,9:00:00 AM,0.49843657,0,4.403323193
7/1/2025,9:00:00 AM,0.3540274,3.48E-05,2.031541539
7/1/2025,9:00:00 AM,0.2582022,4.77E-06,1.696404347
7/1/2025,9:00:00 AM,0.41542876,0,4.249372738
7/1/2025,9:00:00 AM,0.43227446,0,2.135898959
7/1/2025,9:00:00 AM,0.4382559,0,2.096530235
7/1/2025,9:00:00 AM,0.39150298,0,3.292497794
7/1/2025,9:00:00 AM,0.26369536,2.81E-05,1.717466216
7/1/2025,9:00:00 AM,0.42287505,0,4.82442408
7/1/2025,9:00:00 AM,0.41188872,0,3.632645677
7/1/2025,9:00:00 AM,0.3642813,0,2.251361501
7/1/2025,9:00:00 AM,0.30861723,0,3.205895833
7/1/2025,9:00:00 AM,0.19838774,2.86E-06,0.993908696
7/1/2025,9:00:00 AM,0.25478423,0,2.226357506
7/1/2025,9:00:00 AM,0.45278227,0,5.656284802
7/1/2025,9:00:00 AM,0.39357817,0,4.349541114
7/1/2025,9:00:00 AM,0.33290923,0,2.654736749
7/1/2025,9:00:00 AM,0.28847563,0,3.362161037
7/1/2025,9:00:00 AM,0.26870024,9.54E-07,2.129271452
7/1/2025,9:00:00 AM,0.4760977,0,5.638179811
7/1/2025,9:00:00 AM,0.47231352,0,5.202601095
7/1/2025,9:00:00 AM,0.3856436,0,3.93400325
7/1/2025,9:00:00 AM,0.31093657,6.20E-06,2.364807139
7/1/2025,9:00:00 AM,0.22914946,0.002471447,1.231468416
7/1/2025,9:00:00 AM,0.46181548,0,4.918680049
7/1/2025,9:00:00 AM,0.44289458,0,4.402235336
7/1/2025,9:00:00 AM,0.36574614,0,3.531214647
7/1/2025,9:00:00 AM,0.27114165,0.000684261,2.247558109
7/1/2025,9:00:00 AM,0.42299712,0,4.91447888
7/1/2025,9:00:00 AM,0.4189688,0,4.472129818
7/1/2025,9:00:00 AM,0.3774649,4.77E-07,3.81487494
7/1/2025,9:00:00 AM,0.24880278,1.86E-05,1.670612153
7/1/2025,9:00:00 AM,0.37892973,0,5.235559485
7/1/2025,9:00:00 AM,0.42482817,1.48E-05,5.05062657
7/1/2025,9:00:00 AM,0.38393462,0,3.347974562
